[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:11.286]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.383]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.484]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.583]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.683]0 |  905 | 1 |    0    0 | 1 |  27  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.782]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.885]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.983]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.095]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.183]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.285]0 |  905 | 1 |    0    0 | 1 |  26  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.385]0 |  904 | 1 |   -1    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.483]0 |  905 | 1 |    1    0 | 1 |  27  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.583]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
