[09:39:05.866]0 |  887 | 1 |    1    0 | 0 |  34  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.972]0 |  887 | 1 |    0    0 | 0 |  33  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.066]0 |  887 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.166]0 |  887 | 1 |    0    0 | 0 |  31  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.186]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.267]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.366]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.466]0 |  887 | 1 |    0    0 | 0 |  31  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.566]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.666]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.766]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.873]0 |  891 | 0 |    0    1 | 0 |  26  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:06.967]0 |  894 | 0 |    0    2 | 0 |  25  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.066]0 |  895 | 0 |    0    3 | 0 |  28  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.166]0 |  895 | 0 |    0    4 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.186]0 |  895 | 0 |    0    4 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
