[10:00:02.070]0 | 1034 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.167]0 | 1034 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.270]0 | 1034 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.370]0 | 1034 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.390]0 | 1034 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.470]0 | 1034 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.570]0 | 1034 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.671]0 | 1034 | 1 |    0    0 | 0 |  24  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.770]0 | 1034 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.870]0 | 1034 | 1 |    0    0 | 0 |  24  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:02.970]0 | 1034 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.070]0 | 1034 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.171]0 | 1034 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :44 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.270]0 | 1033 | 1 |   -1    0 | 0 |  28  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.369]0 | 1033 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.390]0 | 1033 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.470]0 | 1033 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.570]0 | 1033 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.670]0 | 1033 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.771]0 | 1033 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.870]0 | 1032 | 1 |   -1    0 | 0 |  26  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:03.970]0 | 1033 | 1 |    1    0 | 0 |  27  0 | 0  0 | 10 : 2 :45 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.070]0 | 1032 | 1 |   -1    0 | 0 |  25  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.170]0 | 1032 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.270]0 | 1032 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.370]0 | 1032 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.390]0 | 1032 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.470]0 | 1032 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.570]0 | 1032 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.671]0 | 1032 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.770]0 | 1037 | 0 |    0    1 | 0 |  29  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.870]0 | 1048 | 0 |    0    2 | 0 |  28  0 | 0  0 | 10 : 2 :46 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:04.971]0 | 1057 | 0 |    0    3 | 0 |  27  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.070]0 | 1057 | 0 |    0    4 | 0 |  28  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.170]0 | 1055 | 0 |    0    5 | 0 |  28  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.270]0 | 1055 | 0 |    0    6 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.369]0 | 1072 | 0 |    0    7 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.390]0 | 1072 | 0 |    0    7 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.470]0 | 1081 | 0 |    0    8 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.570]0 | 1088 | 0 |    0    9 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.670]0 | 1094 | 0 |    0   10 | 0 |  26  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
