[09:47:05.279]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.379]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.479]0 |  797 | 1 |    0    0 | 1 |  25  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.580]0 |  797 | 1 |    0    0 | 1 |  25  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.680]0 |  797 | 1 |    0    0 | 1 |  31  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.779]0 |  797 | 1 |    0    0 | 1 |  31  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.890]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.979]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.080]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.179]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.279]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.379]0 |  797 | 1 |    0    0 | 1 |  33  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.480]0 |  797 | 1 |    0    0 | 1 |  33  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.581]0 |  796 | 1 |   -1    0 | 1 |  31  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.680]0 |  796 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.779]0 |  797 | 1 |    1    0 | 1 |  28  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.879]0 |  796 | 1 |   -1    0 | 1 |  29  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:06.979]0 |  797 | 1 |    1    0 | 1 |  29  0 | 0  0 |  9 :46 :40 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.080]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.188]0 |  797 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.279]0 |  797 | 1 |    0    0 | 1 |  25  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.379]0 |  797 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.479]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.580]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.679]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.780]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :41 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.890]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:07.979]0 |  797 | 1 |    0    0 | 1 |  31  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.079]0 |  798 | 1 |    1    0 | 1 |  32  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.179]0 |  798 | 1 |    0    0 | 1 |  31  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.279]0 |  797 | 1 |   -1    0 | 1 |  30  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.379]0 |  798 | 1 |    1    0 | 1 |  29  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.479]0 |  798 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.579]0 |  798 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.679]0 |  798 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :42 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.779]0 |  798 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.879]0 |  798 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:08.979]0 |  798 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.080]0 |  797 | 1 |   -1    0 | 1 |  25  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.188]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.280]0 |  798 | 1 |    1    0 | 1 |  29  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.379]0 |  797 | 1 |   -1    0 | 1 |  29  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.479]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.580]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :43 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.679]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.779]0 |  798 | 1 |    1    0 | 1 |  29  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:09.890]0 |  798 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
